City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,Iralaya,HN,15.0,-83.2333,80.69,70,95,5.1,overcast clouds
156,Upernavik,GL,72.7868,-56.1549,19.53,60,3,5.7,clear sky
157,Gotsu,JP,35.0,132.2167,52.57,73,77,5.84,broken clouds
158,Lompoc,US,34.6391,-120.4579,87.1,62,20,5.01,few clouds
159,Alofi,NU,-19.0595,-169.9187,80.49,50,93,16.11,overcast clouds
160,Half Moon Bay,US,37.4636,-122.4286,81.14,66,27,9.55,scattered clouds
161,Rocha,UY,-34.4833,-54.3333,69.06,74,1,13.09,clear sky
162,Padang,ID,-0.9492,100.3543,77.61,88,87,2.86,overcast clouds
163,Gorakhpur,IN,29.45,75.6833,67.19,36,0,3.89,clear sky
164,Cap Malheureux,MU,-19.9842,57.6142,72.46,91,47,7.43,light rain
165,Tura,IN,25.5198,90.2201,65.07,85,31,4.18,scattered clouds
166,Madimba,TZ,-10.4,40.3333,74.98,83,33,4.36,scattered clouds
167,Sindou,BF,10.6667,-5.1667,76.69,75,53,3.0,light rain
168,Chuy,UY,-33.6971,-53.4616,68.23,79,0,13.49,clear sky
169,Carnarvon,AU,-24.8667,113.6333,64.47,72,0,16.11,clear sky
170,Berlevag,NO,70.8578,29.0864,37.2,87,75,11.5,broken clouds
171,Parfenyevo,RU,58.484,43.4088,43.84,91,100,11.79,overcast clouds
172,Gimli,CA,50.6336,-96.9907,49.42,81,100,14.97,overcast clouds
173,Ambon,ID,-3.6954,128.1814,75.34,94,40,6.91,scattered clouds
174,Dromolaxia,CY,34.8761,33.586,66.07,59,0,4.61,clear sky
175,Turayf,SA,31.6725,38.6637,64.65,34,40,9.22,scattered clouds
176,Craig,US,40.5153,-107.5464,61.39,38,1,0.0,clear sky
177,Porbandar,IN,21.6422,69.6093,78.26,38,100,8.05,overcast clouds
178,Saint-Philippe,RE,-21.3585,55.7679,69.48,80,42,8.55,scattered clouds
179,Atambua,ID,-9.1061,124.8925,75.4,83,80,2.48,broken clouds
180,East London,ZA,-33.0153,27.9116,64.76,71,96,14.99,light rain
181,Tucurui,BR,-3.7661,-49.6725,80.55,70,89,4.76,overcast clouds
182,Bonavista,CA,48.6499,-53.1147,41.11,83,100,14.07,overcast clouds
183,Hofn,IS,64.2539,-15.2082,44.19,86,100,13.09,overcast clouds
184,Port Lincoln,AU,-34.7333,135.8667,53.71,57,56,5.41,broken clouds
185,Ilulissat,GL,69.2167,-51.1,16.34,97,90,6.55,overcast clouds
186,Vorukh,TJ,39.8494,70.5838,39.76,48,0,6.55,clear sky
187,Aksu,CN,41.1231,80.2644,49.32,34,96,3.51,overcast clouds
188,Vilhena,BR,-12.7406,-60.1458,86.22,48,20,17.27,thunderstorm
189,Sabha,LY,27.0377,14.4283,69.17,32,28,7.02,scattered clouds
190,Cerritos,US,33.8583,-118.0648,95.65,40,1,5.01,clear sky
191,Saldanha,ZA,-33.0117,17.9442,62.65,91,0,9.04,clear sky
192,Funtua,NG,11.5233,7.3081,73.76,22,67,6.67,broken clouds
193,Tuatapere,NZ,-46.1333,167.6833,59.94,64,95,6.42,overcast clouds
194,Glendive,US,47.1053,-104.7125,73.18,33,17,14.0,few clouds
195,Faya,SA,18.3851,42.4509,61.32,30,90,7.34,overcast clouds
196,Curumani,CO,9.1999,-73.5427,76.78,96,100,2.62,overcast clouds
197,Barranca,PE,-10.75,-77.7667,66.34,75,34,10.85,scattered clouds
198,Trairi,BR,-3.2778,-39.2689,80.19,70,89,9.69,overcast clouds
199,Anadyr,RU,64.75,177.4833,-1.7,84,40,4.47,light snow
200,Prince Rupert,CA,54.3161,-130.3201,44.29,78,99,11.5,overcast clouds
201,Vostok,RU,46.4856,135.8833,31.64,64,0,2.68,clear sky
202,Waingapu,ID,-9.6567,120.2641,79.93,82,93,3.51,overcast clouds
203,Sretensk,RU,52.2453,117.7093,23.67,47,3,2.77,clear sky
204,Vanimo,PG,-2.6741,141.3028,77.9,89,97,3.91,overcast clouds
205,Malakal,SS,9.5334,31.6605,77.16,71,68,5.37,broken clouds
206,Yulara,AU,-25.2406,130.9889,71.44,21,40,18.41,scattered clouds
207,Mikhaylovka,RU,50.06,43.2379,39.78,79,1,1.66,clear sky
208,Bowen,AU,-20.0167,148.2333,71.82,77,0,3.98,clear sky
209,New Norfolk,AU,-42.7826,147.0587,44.92,71,45,3.33,scattered clouds
210,Saskylakh,RU,71.9167,114.0833,-7.76,96,99,8.12,overcast clouds
211,Rio Muerto,MX,27.4167,-110.2333,92.19,16,0,9.35,clear sky
212,Furano,JP,43.2818,142.4743,30.52,95,44,0.45,scattered clouds
213,Pergamino,AR,-33.89,-60.5736,92.25,14,0,10.89,clear sky
214,Penticton,CA,49.4806,-119.5858,51.15,81,90,16.11,overcast clouds
215,Albanel,CA,48.8832,-72.4487,49.98,46,0,3.44,clear sky
216,Ous,RU,60.9058,61.5186,18.82,76,32,6.89,scattered clouds
217,Manuk Mangkaw,PH,4.8,119.85,83.01,74,100,5.26,light rain
218,Chapais,CA,49.7834,-74.8492,55.18,54,9,5.41,clear sky
219,Abu Kamal,SY,34.4506,40.9171,68.95,45,84,6.02,broken clouds
220,Kahului,US,20.8947,-156.47,81.66,78,62,8.01,broken clouds
221,Aracaju,BR,-10.9111,-37.0717,78.75,69,0,5.75,clear sky
222,Sao Pedro,BR,-22.5486,-47.9139,75.49,70,37,9.57,scattered clouds
223,Amahai,ID,-3.3333,128.9167,77.88,84,100,4.16,overcast clouds
224,Acapulco,MX,16.8634,-99.8901,84.52,71,13,5.37,few clouds
225,Quelimane,MZ,-17.8786,36.8883,73.35,68,0,3.0,clear sky
226,Itaparica,BR,-12.8883,-38.6786,78.73,73,7,7.99,clear sky
227,Castro,BR,-24.7911,-50.0119,66.24,82,56,8.59,broken clouds
228,Novobureyskiy,RU,49.798,129.8774,36.79,82,100,8.16,overcast clouds
229,Bengkulu,ID,-3.8004,102.2655,75.36,91,96,3.87,overcast clouds
230,Flin Flon,CA,54.7682,-101.865,44.44,57,75,5.75,broken clouds
231,Moramanga,MG,-18.9333,48.2,58.95,94,100,1.12,overcast clouds
232,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,91.2,55,40,3.44,scattered clouds
233,Dharchula,IN,29.85,80.5333,53.58,34,0,7.34,clear sky
234,Nioro,GM,13.35,-15.75,80.73,65,97,3.76,overcast clouds
235,Buala,SB,-8.145,159.5921,83.01,79,97,10.45,light rain
236,Laguna,US,38.421,-121.4238,80.44,65,1,1.99,clear sky
237,Morant Bay,JM,17.8815,-76.4093,87.42,78,41,8.5,scattered clouds
238,Luderitz,NA,-26.6481,15.1594,60.13,82,0,10.47,clear sky
239,Ajaccio,FR,42.0,8.9167,53.65,88,0,6.91,clear sky
240,Igarka,RU,67.4667,86.5833,25.93,94,100,19.04,light snow
241,Necochea,AR,-38.5473,-58.7368,89.04,39,61,14.09,broken clouds
242,Dakar,SN,14.6937,-17.4441,83.28,78,100,9.22,overcast clouds
243,Ancud,CL,-41.8697,-73.8203,54.93,77,91,11.1,overcast clouds
244,Camacha,PT,33.0833,-16.3333,69.22,78,20,12.66,few clouds
245,Sachin,IN,21.0833,72.8833,72.75,43,99,8.59,overcast clouds
246,Pangody,RU,65.85,74.4859,24.93,97,100,8.1,snow
247,Atuona,PF,-9.8,-139.0333,77.88,72,14,13.58,few clouds
248,Sur,OM,22.5667,59.5289,77.81,49,1,1.43,clear sky
249,Sorong,ID,-0.8833,131.25,78.01,87,100,4.99,overcast clouds
250,Mar Del Plata,AR,-38.0023,-57.5575,68.02,93,0,15.99,clear sky
251,Aklavik,CA,68.2191,-135.0107,25.63,93,100,0.78,overcast clouds
252,Bako,ET,5.7833,36.5667,64.96,68,69,4.38,broken clouds
253,Nhulunbuy,AU,-12.2333,136.7667,74.01,88,61,0.0,broken clouds
254,Bardiyah,LY,31.7561,25.0865,71.55,74,99,5.88,overcast clouds
255,Coihaique,CL,-45.5752,-72.0662,53.55,62,75,5.75,light rain
256,Launceston,AU,-41.45,147.1667,46.8,81,11,1.99,few clouds
257,Bestobe,KZ,52.4994,73.0975,37.76,85,100,16.84,overcast clouds
258,Port Hardy,CA,50.6996,-127.4199,48.38,61,20,10.36,few clouds
259,Port Hedland,AU,-20.3167,118.5667,73.45,83,75,9.22,broken clouds
260,Margate,GB,51.3813,1.3862,54.3,77,94,3.0,overcast clouds
261,Burhar,IN,23.2167,81.5333,61.21,64,50,3.22,scattered clouds
262,Cavalcante,BR,-13.7975,-47.4583,75.97,60,98,2.33,overcast clouds
263,Srednekolymsk,RU,67.45,153.6833,2.07,97,100,4.09,light snow
264,Otawara,JP,36.8667,140.0333,45.93,76,0,3.06,clear sky
265,Aksarka,RU,66.5606,67.7975,12.11,88,100,7.85,overcast clouds
266,Ponta Do Sol,PT,32.6667,-17.1,72.23,73,79,9.69,broken clouds
267,Portland,US,45.5234,-122.6762,58.89,78,75,1.99,broken clouds
268,Ixtapa,MX,20.7,-105.2,86.23,79,31,5.01,scattered clouds
269,Mogadishu,SO,2.0371,45.3438,79.34,78,17,8.81,few clouds
270,Broome,US,42.2506,-75.833,54.77,67,90,1.99,overcast clouds
271,Cagliliog,PH,13.9016,123.2913,77.86,82,5,9.35,clear sky
272,Teya,RU,60.3778,92.6267,31.59,88,100,11.95,overcast clouds
273,Clyde River,CA,70.4692,-68.5914,30.43,100,90,12.66,mist
274,Sokoto,NG,13.0609,5.239,85.3,14,77,9.24,broken clouds
275,Kattivakkam,IN,13.2167,80.3167,77.09,76,100,4.47,overcast clouds
276,Marsh Harbour,BS,26.5412,-77.0636,80.08,80,100,15.35,overcast clouds
277,Goderich,CA,43.7501,-81.7165,55.9,87,100,23.78,overcast clouds
278,Opuwo,NA,-18.0607,13.84,76.19,38,54,3.87,broken clouds
279,Norman Wells,CA,65.282,-126.8329,26.64,86,75,2.3,broken clouds
280,Palmer,US,42.1584,-72.3287,52.29,71,53,1.99,broken clouds
281,Esperance,AU,-33.8667,121.9,48.04,82,27,6.69,scattered clouds
282,Taoudenni,ML,22.6783,-3.9836,84.83,18,7,6.78,clear sky
